ticker,name,sector,yahoo_ticker,status,notes
AAPL,Apple Inc.,Information Technology,AAPL,active,
ABBV,AbbVie Inc.,Health Care,ABBV,active,
ABT,Abbott Laboratories,Health Care,ABT,active,
ACN,Accenture,Information Technology,ACN,active,
ADBE,Adobe Inc.,Information Technology,ADBE,active,
ADI,Analog Devices,Information Technology,ADI,active,
ADP,Automatic Data Processing,Industrials,ADP,active,
ADSK,Autodesk,Information Technology,ADSK,active,
AIG,American International Group,Financials,AIG,active,
AMAT,Applied Materials,Information Technology,AMAT,active,
AMD,Advanced Micro Devices,Information Technology,AMD,active,
AMGN,Amgen Inc.,Health Care,AMGN,active,
AMZN,Amazon.com Inc.,Consumer Discretionary,AMZN,active,
AON,Aon plc,Financials,AON,active,
APA,APA Corporation,Energy,APA,active,
APD,Air Products and Chemicals,Materials,APD,active,
AVGO,Broadcom Inc.,Information Technology,AVGO,active,
AXP,American Express,Financials,AXP,active,
BA,Boeing Co.,Industrials,BA,active,
BAC,Bank of America Corp.,Financials,BAC,active,
BDX,Becton Dickinson,Health Care,BDX,active,
BK,The Bank of New York Mellon,Financials,BNY,renamed,ticker changed BK->BNY 2026-05-21
BKNG,Booking Holdings,Consumer Discretionary,BKNG,active,
BLK,BlackRock Inc.,Financials,BLK,active,
BMY,Bristol-Myers Squibb,Health Care,BMY,active,
BRK.B,Berkshire Hathaway (Class B),Financials,BRK.B,active,
BSX,Boston Scientific,Health Care,BSX,active,
CAT,Caterpillar Inc.,Industrials,CAT,active,
CHTR,Charter Communications,Communication Services,CHTR,active,
CI,The Cigna Group,Health Care,CI,active,
CMG,Chipotle Mexican Grill,Consumer Discretionary,CMG,active,
CMI,Cummins Inc.,Industrials,CMI,active,
CMS,CMS Energy,Utilities,CMS,active,
CNP,CenterPoint Energy,Utilities,CNP,active,
COF,Capital One,Financials,COF,active,
COP,ConocoPhillips,Energy,COP,active,
COST,Costco Wholesale,Consumer Staples,COST,active,
CSCO,Cisco Systems,Information Technology,CSCO,active,
CSX,CSX Corp.,Industrials,CSX,active,
CVS,CVS Health,Consumer Staples,CVS,active,
CVX,Chevron Corp.,Energy,CVX,active,
DE,Deere & Co.,Industrials,DE,active,
DFS,Discover Financial,Financials,DFS,delisted,merged into Capital One 2025-05-18
DG,Dollar General,Consumer Discretionary,DG,active,
DIS,Walt Disney Co.,Communication Services,DIS,active,
DOV,Dover Corp.,Industrials,DOV,active,
DOW,Dow Inc.,Materials,DOW,active,
DRI,Darden Restaurants,Consumer Discretionary,DRI,active,
DTE,DTE Energy,Utilities,DTE,active,
DUK,Duke Energy,Utilities,DUK,active,
EMR,Emerson Electric,Industrials,EMR,active,
EOG,EOG Resources,Energy,EOG,active,
EQIX,Equinix,Real Estate,EQIX,active,
EQT,EQT Corporation,Energy,EQT,active,
EXC,Exelon,Utilities,EXC,active,
FE,FirstEnergy,Utilities,FE,active,
FI,Fiserv Inc.,Financials,FISV,renamed,"NYSE->Nasdaq, ticker FI->FISV"
FIS,Fidelity National Information Services,Financials,FIS,active,
FITB,Fifth Third Bancorp,Financials,FITB,active,
FMC,FMC Corporation,Materials,FMC,active,
FOX,Fox Corporation (Class B),Communication Services,FOX,active,
FOXA,Fox Corporation (Class A),Communication Services,FOXA,active,
GD,General Dynamics,Industrials,GD,active,
GE,General Electric,Industrials,GE,active,
GILD,Gilead Sciences,Health Care,GILD,active,
GIS,General Mills,Consumer Staples,GIS,active,
GLW,Corning Inc.,Information Technology,GLW,active,
GM,General Motors,Consumer Discretionary,GM,active,
GOOG,Alphabet Inc. (Class C),Communication Services,GOOG,active,
GOOGL,Alphabet Inc. (Class A),Communication Services,GOOGL,active,
GPC,Genuine Parts Company,Consumer Discretionary,GPC,active,
GS,Goldman Sachs Group,Financials,GS,active,
HAL,Halliburton,Energy,HAL,active,
HAS,Hasbro Inc.,Consumer Discretionary,HAS,active,
HBAN,Huntington Bancshares,Financials,HBAN,active,
HD,Home Depot,Consumer Discretionary,HD,active,
HES,Hess Corporation,Energy,HES,delisted,acquired by Chevron
HIG,The Hartford,Financials,HIG,active,
HOG,Harley-Davidson,Consumer Discretionary,HOG,active,
HON,Honeywell,Industrials,HON,active,
HPE,Hewlett Packard Enterprise,Information Technology,HPE,active,
HPQ,HP Inc.,Information Technology,HPQ,active,
HRB,H&R Block,Consumer Discretionary,HRB,active,
HRL,Hormel Foods,Consumer Staples,HRL,active,
HSIC,Henry Schein,Health Care,HSIC,active,
HST,Host Hotels & Resorts,Real Estate,HST,active,
HSY,The Hershey Company,Consumer Staples,HSY,active,
HUM,Humana Inc.,Health Care,HUM,active,
IBM,International Business Machines,Information Technology,IBM,active,
ICE,Intercontinental Exchange,Financials,ICE,active,
IDXX,IDEXX Laboratories,Health Care,IDXX,active,
IEX,IDEX Corp.,Industrials,IEX,active,
IFF,International Flavors & Fragrances,Materials,IFF,active,
ILMN,Illumina Inc.,Health Care,ILMN,active,
INCY,Incyte,Health Care,INCY,active,
INTC,Intel Corp.,Information Technology,INTC,active,
INTU,Intuit Inc.,Information Technology,INTU,active,
INVH,Invitation Homes,Real Estate,INVH,active,
IP,International Paper,Materials,IP,active,
IPG,Interpublic Group,Communication Services,IPG,delisted,merged with Omnicom
IQV,IQVIA Holdings,Health Care,IQV,active,
IR,Ingersoll Rand,Industrials,IR,active,
IRM,Iron Mountain,Real Estate,IRM,active,
ISRG,Intuitive Surgical,Health Care,ISRG,active,
ITW,Illinois Tool Works,Industrials,ITW,active,
IVZ,Invesco Ltd.,Financials,IVZ,active,
JPM,JPMorgan Chase & Co.,Financials,JPM,active,
LLY,Eli Lilly & Co.,Health Care,LLY,active,
META,Meta Platforms Inc.,Communication Services,META,active,
MSFT,Microsoft Corp.,Information Technology,MSFT,active,
NVDA,NVIDIA Corp.,Information Technology,NVDA,active,
PG,Procter & Gamble Co.,Consumer Staples,PG,active,
TSLA,Tesla Inc.,Consumer Discretionary,TSLA,active,
WMT,Walmart Inc.,Consumer Staples,WMT,active,
